Región,Parque,Lugar
Región Mar Argentino,Namuncurá - Banco Burdwood,Mar Argentino
Región Mar Argentino,Yaganes,Mar Argentino
Región Centro,Parque Nacional Campos del Tuyú,Provincia de Buenos Aires
Región Centro,Parque Nacional Ciervo de los Pantanos,Provincia de Buenos Aires
Región Centro,Parque Nacional Quebrada del Condorito,Provincia de Córdoba
Región Centro,Parque Nacional Traslasierra,Provincia de Córdoba
Región NEA,Parque Nacional Mburucuyá,Provincia de Corrientes
Región NEA,Parque Nacional Iberá,Provincia de Corrientes
Región Centro,Parque Nacional El Palmar,Provincia de Entre Ríos
Región Centro,Parque Nacional Pre-Delta,Provincia de Entre Ríos
Región NOA,Reserva Natural Formosa,Provincia de Formosa
Región NEA,Parque Nacional Río Pilcomayo,Provincia de Formosa
Región NOA,Parque Nacional Calilegua,Provincia de Jujuy
Región NOA,Monumento Natural Laguna de los Pozuelos,Provincia de Jujuy
Región Patagonia,Parque Nacional Lihué Calel,Provincia de La Pampa
Región Centro,Parque Nacional Talampaya,Provincia de La Rioja
Región NEA,Parque Nacional Iguazú,Provincia de Misiones
Región NEA,Reserva Natural Estricta San Antonio,Provincia de Misiones
Región NOA,Parque Nacional Baritú,Provincia de Salta
Región NOA,Reserva Nacional El Nogalar de Los Toldos,Provincia de Salta
Región NOA,Parque Nacional El Rey,Provincia de Salta
Región NOA,Parque Nacional Los Cardones,Provincia de Salta
Región NOA,Reserva Nacional Pizarro,Provincia de Salta
Región Centro,Parque Nacional San Guillermo,Provincia de San Juan
Región Centro,Parque Nacional El Leoncito,Provincia de San Juan
Región Centro,Parque Nacional Sierra de las Quijadas,Provincia de San Luis
Región Patagonia Austral,Parque Nacional Los Glaciares,Provincia de Santa Cruz
Región Patagonia Austral,Parque Nacional Perito Moreno,Provincia de Santa Cruz
Región Patagonia Austral,Parque Nacional Patagonia,Provincia de Santa Cruz
Región Patagonia Austral,Parque Nacional Bosques Petrificados de Jaramillo,Provincia de Santa Cruz
Región Patagonia Austral,Parque Nacional Monte León,Provincia de Santa Cruz
Región Patagonia Austral,Parque Interjurisdiccional Marino Makenke,Provincia de Santa Cruz
Región Patagonia Austral,Parque Interjurisdiccional Marino Isla Pingüino,Provincia de Santa Cruz
Región Centro,Parque Nacional Islas de Santa Fe,Provincia de Santa Fe
Región NOA,Parque Nacional Copo,Provincia de Santiago del Estero
Región Patagonia Austral,Parque Nacional Tierra del Fuego,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur"
Región Patagonia Austral,Reserva Natural Silvestre Isla de los Estados,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur"
Región NEA,Parque Nacional Chaco,Provincia del Chaco
Región NEA,Reserva Natural Educativa Colonia Benítez,Provincia del Chaco
Región NEA,Parque Nacional El Impenetrable,Provincia del Chaco
Región Patagonia,Parque Nacional Lago Puelo,Provincia del Chubut
Región Patagonia,Parque Nacional Los Alerces,Provincia del Chubut
Región Patagonia,Parque Interjurisdiccional Marino Costero Patagonia Austral,Provincia del Chubut
Región Patagonia,Parque Nacional Los Arrayanes,Provincia del Neuquén
Región Patagonia,Parque Nacional Lanín,Provincia del Neuquén
Región Patagonia,Parque Nacional Laguna Blanca,Provincia del Neuquén
Región NOA,Parque Nacional Aconquija,Provincia del Tucumán
Región Patagonia,Parque Nacional Nahuel Huapi,Provincias de Río Negro y Neuquén
